group,outcome,discogs_listing,discogs_catno_or_cached,shopify_sku,candidates,release
2 needs approval,unresolved,4372181115,HM029,,HM029B (stock 2),"Simoncino - Cosmic Warrior (12"")"
2 needs approval,unresolved,4373218980,HM028,,HM028T (stock 2),"Simoncino - Jungle Dream (Ron Trent Remixes) (12"", RP, Cle)"
2 needs approval,unresolved,4199028417,Soul:R062,,SOULR062RP (stock 2),"Skeptical (2) - Fourfit EP 01 (12"", EP, RP)"
2 needs approval,unresolved,4258397478,02,,,"Special Characters - Subsurface Incantations (12"", EP)"
2 needs approval,unresolved,4190774604,RS078,,RS078LP (stock 2),"Stevie Cox, Ansboy - Twice Like Rice  (12"", EP)"
2 needs approval,unresolved,4271429463,DAT 088,,DAT088 A/B (stock 2); DAT088 C/D (stock 2),"Subjects (5) - Mash Up / Spaced Out / Fantasy / Rhodes Tune  (2x12"")"
2 needs approval,unresolved,4372182822,RV-02,,,"Termiten - Nordhorn (12"", Ltd, RE, RM, Yel)"
2 needs approval,unresolved,4243833840,CAT 016,,,"The SouL Pops - The Mask EP (12"", EP)"
2 needs approval,unresolved,4199093673,FOKUZ085,,FOKUZ085_ (stock 2),"The Vanguard Project - Daredevil EP (12"", EP)"
2 needs approval,unresolved,4199074122,FOKUZ101,,FOKUZ101RP_ (stock 2),"The Vanguard Project - Ducks Life EP (12"", EP)"
2 needs approval,unresolved,4200260643,FOKUZ 093,,FOKUZ093RP (stock 2),"The Vanguard Project - Identity Crisis EP  (12"", EP)"
2 needs approval,unresolved,4198964799,FOKUZ087,,FOKUZ087_ (stock 2),"The Vanguard Project - Plastic Fantastic EP (12"")"
2 needs approval,unresolved,4198975125,FOKUZ091,,FOKUZ091RP_ (stock 2),"The Vanguard Project - Twice As Nice EP (12"", EP)"
2 needs approval,unresolved,4333670103,RAMAJAM02,,,"The Wet Steppahz VS. DAPASHU? - Everyone Is A Winner (12"")"
2 needs approval,unresolved,4246950300,FSRSV061,,,"Trinidadian Deep - Deep Rooted Isle (12"")"
2 needs approval,unresolved,4199037729,HEYNOW001,,HEYNOW001RP (stock 2),"Unknown Artist - Hey Now (12"", Whi)"
2 needs approval,unresolved,4199213367,LOVELY001,,LOVELY001RP (stock 2),"Unknown Artist - Lovely EP (12"", EP, Whi)"
2 needs approval,unresolved,4199209830,BLAKE001RP,,BLAKE001RP2 (stock 2),"Unknown Artist - The F Word (12"", RP, W/Lbl)"
2 needs approval,unresolved,4199255328,SUMMER001,,SUMMER001RP (stock 2),"Unknown Artist, Villem & Mcleod - Summer 001 (10"", Cle)"
2 needs approval,unresolved,4200207003,FOKUZ099,,FOKUZ099RP (stock 2),"Various - 99 The Remix EP (12"", EP, Blu)"
2 needs approval,unresolved,4199145081,FOKUZ106RP3,,,"Various - Fokuz All Stars - Part 3 (12"")"
2 needs approval,unresolved,4200210234,FOKUZ080.3,,,"Various - Hateful Eighty Part 3 (12"")"
2 needs approval,unresolved,4219795119,KSSV003,,,"Various - King Street Sounds (12"", Smplr)"
2 needs approval,unresolved,4200248325,CPLV01,,,"Yaroslav Lenzyak - Blesk EP (12"", EP)"
2 needs approval,unresolved,4372183191,HZB-3,,,"Zoo Brazil - The Ambient House Trilogy Part 3 (12"", Red)"
2 needs approval,unresolved,4219798380,015,,,"cv313 - Fading Lights (12"", RE, RM, Gre)"
3 duplicate listing,conflict,4258358799,VP014,VP014,VP014 already linked to 4246949688,"DJ Compufunk - The Remixes (12"")"
3 duplicate listing,conflict,4200252492,SOUL:R 055,SOULR055,SOULR055 already linked to 4197674571,"DRS - Count To Ten / Holding On (12"", RP)"
3 duplicate listing,conflict,4281343725,VFS089,VFS089,VFS089 already linked to 4281164703,"Ellis Dee - Sound Of The 90's / I Know (12"", RE)"
3 duplicate listing,conflict,4281343278,VFS089Y,VFS089Y,VFS089Y already linked to 4281164721,"Ellis Dee - Synthetic Disco / Atmosphere (12"", RE)"
3 duplicate listing,conflict,4373219991,ATJ 012,ATJ012,ATJ012 already linked to 4156961763,"Mr. Fonk - Karen's Piano (12"", EP)"
3 duplicate listing,conflict,4156961652,RMCE021,RMCE021,RMCE021 already linked to 4164934932,"Russ Gabriel - Work It EP (12"", EP)"
3 duplicate listing,conflict,4228077405,DES133,DES133,DES133 already linked to 4221197949,"Timmy P - Safety First E.P. (12"", EP)"
3 duplicate listing,conflict,4285854873,DES133,DES133,DES133 already linked to 4221197949,"Timmy P - Safety First E.P. (12"", EP)"
3 duplicate listing,conflict,4337947446,DEFCL001LP,DEFCL001LP,DEFCL001LP already linked to 4211215539,"Various - Defected Classics 1 (3x12"", Comp)"
3 duplicate listing,conflict,4156961805,COOP007,COOP007,COOP007 already linked to 4176318717,"Various - Plug One (2xLP, Comp)"
